Date,Name,Type,Moving Time,Distance (km),Elevation Gain (m),Avg Moving Speed (kph),Avg Pace (/km),Calories,Best 20min Speed (kph),Best 20min Pace (/km),Running Stress Score,Running Stress Score / h,Avg HR (bpm),HRSS,HRSS / h,Best 20min HR (bpm),Cadence Avg Moving (rpm or spm),Avg Watts (w),Avg Watts / Kilograms (w/kg),Best 20min Power (w),Power Stress Score,Power Stress Score / h,Athlete Settings,Delete
2017-12-07T05:51:59-05:00,Morning Ride,Ride,1:30:16,35.7,708.6,23.7,2:32,944,30.5,1:58,-,-,160,123,82,169,-,142,2.03,196,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-12-21T06:10:22-05:00,Morning Ride,Ride,1:40:39,35.6,709.9,21.2,2:49,892,28.8,2:04,-,-,149,107,64,166,-,119,1.7,168,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-12-23T11:23:58-05:00,Morning Ride,Ride,2:29:21,53.2,968.7,21.1,2:51,1312,29.2,2:03,-,-,157,193,77,173,-,120,1.72,166,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-12-27T06:02:30-05:00,Morning Ride,Ride,1:39:47,35.6,715.3,21.4,2:48,906,29.3,2:02,-,-,147,99,60,161,-,124,1.78,166,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-12-29T10:21:06-05:00,Fondo a San Pablo,Ride,6:00:11,101.4,2649.7,16.8,3:33,2847,41.6,1:26,-,-,155,432,72,174,-,105,1.5,176,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2017-12-31T13:20:29-05:00,El último,Ride,2:14:12,45.6,1177.9,20.3,2:56,1301,32.1,1:52,-,-,155,167,75,172,-,122,1.74,188,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-01-01T11:35:41-05:00,El primero,Ride,2:10:43,51.8,744.2,23.7,2:31,1220,29.8,2:00,-,-,147,128,59,164,-,141,2.02,172,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-01-06T10:17:12-05:00,Grifo Alto,Ride,3:42:19,73.2,1886.9,19.7,3:02,2082,29,2:04,-,-,160,306,83,177,-,126,1.79,182,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-01-07T12:41:01-05:00,Lunch Ride,Ride,1:43:23,40.2,659.4,23.3,2:34,972,32.4,1:51,-,-,155,127,74,173,-,129,1.85,181,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-01-10T05:43:01-05:00,Estallado,Ride,0:04:56,1.9,34,23.6,2:32,49,-,-,-,-,154,6,67,-,-,146,2.08,-,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-01-12T05:48:02-05:00,Morning Ride,Ride,1:38:32,35.6,714.1,21.6,2:46,908,28.7,2:05,-,-,154,118,72,167,-,120,1.72,191,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-01-13T13:27:25-05:00,Acompañado ❤,Ride,2:20:00,41.2,736.4,17.6,3:24,893,25.7,2:20,-,-,133,98,42,146,-,90,1.28,132,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-01-20T10:58:57-05:00,Morning Ride,Ride,2:26:41,50.7,1133.2,20.7,2:54,1315,31.2,1:55,-,-,157,186,76,171,-,126,1.79,167,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-01-24T05:53:07-05:00,Morning Ride,Ride,1:35:09,35.6,703.5,22.4,2:40,920,32.5,1:50,-,-,156,116,73,166,-,137,1.96,177,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-01-27T10:12:23-05:00,Fondo a Grecia,Ride,4:36:14,101.2,1597.7,21.5,2:47,2241,29,2:04,-,-,160,383,82,175,-,120,1.71,190,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-01-29T05:59:37-05:00,Morning Ride,Ride,1:49:24,35.5,717.9,19.5,3:04,877,28.5,2:06,-,-,145,101,55,155,-,114,1.62,154,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-03-30T12:40:21-04:00,Morning Ride,Ride,2:37:20,52.7,971.8,20,2:59,1268,29.7,2:01,-,-,152,172,66,166,-,114,1.63,161,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-04-23T19:39:35-04:00,Ride corto con la Flaca,Ride,0:41:33,11.5,315.8,16.6,3:36,350,17.9,3:21,-,-,133,31,45,148,-,109,1.56,141,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-05-05T11:33:11-04:00,De vuelta,Ride,3:23:25,60.5,1462.2,17.8,3:22,1608,27.9,2:08,-,-,156,255,75,172,-,108,1.54,167,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-05-10T08:28:54-04:00,Morning Ride,Ride,1:34:48,31.6,811,20,2:59,904,30,2:00,-,-,155,116,73,171,-,126,1.8,184,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-05-12T11:50:02-04:00,Morning Ride,Ride,3:01:30,60.9,1283,20.1,2:59,1585,29.2,2:03,-,-,153,215,71,173,-,118,1.69,176,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-05-13T11:48:54-04:00,Morning Ride,Ride,2:15:43,43.4,1035.5,19.2,3:07,1157,26.6,2:15,-,-,152,158,70,168,-,109,1.55,176,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-05-26T11:48:37-04:00,Morning Ride,Ride,1:26:00,17.5,441.9,12.2,4:55,652,19.5,3:04,-,-,142,78,54,164,-,102,1.46,167,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-06-03T11:54:45-04:00,Morning Ride,Ride,2:43:48,51.8,968,18.9,3:10,1242,26.1,2:17,-,-,161,230,84,177,-,109,1.56,155,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-06-07T08:46:19-04:00,Morning Ride,Ride,1:20:07,27.1,630.9,20.3,2:57,704,30.7,1:57,-,-,165,125,94,178,69,116,1.66,174,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-06-09T11:43:28-04:00,Morning Ride,Ride,2:35:04,51.2,1132.8,19.7,3:02,1779,29.6,2:01,-,-,166,246,95,182,68,114,1.63,175,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-06-10T11:20:52-04:00,Morning Ride,Ride,2:37:32,51.8,969.2,19.7,3:02,1614,25.1,2:23,-,-,159,213,81,176,69,108,1.54,173,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-06-16T11:20:37-04:00,Morning Ride,Ride,1:09:16,24.1,440.6,20.9,2:52,887,26.9,2:13,-,-,161,97,84,169,69,119,1.7,170,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-06-17T10:38:04-04:00,Morning Ride,Ride,3:33:13,78.3,1157.5,22,2:43,2283,28.1,2:07,-,-,160,290,82,175,70,120,1.71,184,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-06-19T08:53:09-04:00,Morning Ride,Ride,1:21:07,27.1,624.8,20,3:00,1041,29.9,2:00,-,-,163,121,90,178,69,117,1.68,174,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-06-21T08:33:18-04:00,Morning Ride,Ride,1:16:47,27.1,633.7,21.1,2:50,1004,31.2,1:55,-,-,164,114,89,172,71,120,1.72,188,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2019-06-16T21:00:00-04:00,Complimentary calisthenics,Workout,1:00:00,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Weight 70kg.,
2018-06-23T11:14:15-04:00,Morning Ride,Ride,2:23:25,50.7,1128.9,21.2,2:49,1635,30.4,1:58,-,-,158,194,81,175,72,118,1.69,189,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-06-24T11:04:13-04:00,Morning Ride,Ride,2:28:08,50.6,1130.9,20.5,2:56,1581,30.1,1:59,-,-,151,163,66,168,68,114,1.62,184,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
2018-06-26T08:36:15-04:00,Morning Ride,Ride,1:18:48,27,631,20.5,2:55,941,30.6,1:57,-,-,154,94,72,169,70,114,1.63,190,-,0,MaxHr 190bpm. RestHr 65bpm. Weight 70kg.,
